0.0144,0.439,222253,0.977,0,0.0221,7,0.383,-4.386,1,19,0.128,105.124,0.364
0.343,0.784,286533,0.619,0,0.106,9,0.0421,-12.815,0,30,0.0304,112.944,0.954
0.163,0.417,197200,0.871,0,0.751,3,0.418,-6.442,0,25,0.0367,147.203,0.646
0.468,0.315,282466,0.448,0,4.94E-05,8,0.0682,-18.788,1,21,0.134,164.017,0.527
0.223,0.609,288360,0.887,0,0,1,0.117,-7.013,0,21,0.0486,129.686,0.962
0.00775,0.362,199947,0.965,0,1.29E-06,2,0.236,-2.715,1,27,0.0401,182.915,0.919
0.523,0.856,182440,0.425,0,0.85,1,0.0491,-9.458,1,27,0.0875,97.145,0.802
0.947,0.195,69000,0.143,0,0.00228,10,0.348,-17.805,1,21,0.0346,83.077,0.0739
0.515,0.767,342373,0.705,0,7.89E-06,0,0.164,-7.883,1,33,0.0379,112.391,0.931
0.643,0.606,259440,0.514,0,0.000547,0,0.289,-10.333,1,22,0.0327,104.308,0.69
0.0743,0.573,224093,0.616,0,0.0437,11,0.0996,-7.806,0,21,0.0445,148.148,0.588
0.27,0.827,170733,0.816,0,0.000155,9,0.0399,-5.304,1,19,0.0979,106.856,0.888
0.204,0.759,214840,0.696,0,0.00611,5,0.0612,-7.088,1,24,0.0892,115.194,0.907
0.791,0.646,138200,0.362,0,0.0006,9,0.0931,-17.382,1,38,0.0454,87.409,0.643
0.000115,0.503,224640,0.63,0,0.00281,9,0.189,-13.503,1,19,0.0264,133.584,0.877
0.686,0.336,208267,0.364,0,0,5,0.562,-14.039,0,28,0.0421,91.594,0.58
0.0455,0.461,213533,0.221,0,2.66E-05,0,0.593,-15.342,1,28,0.0444,119.063,0.6
0.127,0.349,243040,0.477,0,0,0,0.0845,-12.566,1,21,0.12,162.471,0.464
0.0146,0.633,242227,0.692,0,0,9,0.0552,-11.224,1,25,0.0516,125.056,0.791
0.437,0.382,191267,0.997,0,0.95,9,0.617,-1.568,1,19,0.188,162.428,0.563
0.553,0.558,108040,0.307,0,0.0116,0,0.212,-11.199,1,22,0.0309,71.889,0.317
0.0177,0.513,227623,0.406,0,0,8,0.0918,-9.423,1,27,0.13,160.946,0.625
0.52,0.728,207867,0.161,0,4.68E-05,11,0.0719,-19.385,1,22,0.0469,85.722,0.467
0.462,0.133,102573,0.757,0,0.858,3,0.341,-7.53,1,19,0.0658,75.551,0.516
0.00631,0.483,162133,0.934,0,1.01E-06,9,0.061,-2.138,0,27,0.0378,137.341,0.405
0.0797,0.427,197800,0.986,0,0.0599,4,0.954,-7.362,1,22,0.067,127.814,0.324
0.000823,0.283,253040,0.835,0,0.81,11,0.063,-5.842,1,25,0.0633,135.058,0.21
0.322,0.648,265640,0.402,0,1.38E-06,3,0.0886,-14.972,1,28,0.0241,102.682,0.607
0.831,0.433,421467,0.725,0,0,10,0.743,-14.346,0,19,0.757,122.324,0.0486
0.5,0.648,178560,0.63,0,0,8,0.125,-11.873,1,31,0.0407,79.838,0.929
0.213,0.177,110800,0.775,0,0.62,2,0.275,-6.454,1,24,0.0493,208.615,0.495
0.743,0.725,150627,0.325,0,0,7,0.0577,-16.342,1,37,0.178,116.615,0.509
0.17,0.415,139703,0.781,0,0,9,0.04,-8.895,1,19,0.283,191.835,0.873
0.195,0.66,198027,0.657,0,0.000916,7,0.244,-12.84,1,27,0.0761,120.391,0.779
0.163,0.502,320867,0.503,0,4.38E-05,11,0.333,-11.034,0,22,0.57,90.673,0.711
0.371,0.377,197827,0.432,0,0.000698,8,0.131,-7.286,1,18,0.027,161.107,0.49
0.482,0.48,174827,0.27,0,3.96E-05,0,0.0965,-17.198,1,27,0.04,142.349,0.249
0.863,0.444,89773,0.299,0,0.00102,9,0.0925,-13.541,0,24,0.259,125.264,0.236
0.917,0.841,146200,0.148,0,0,7,0.0665,-15.135,1,20,0.0842,116.41,0.771
0.421,0.589,173333,0.969,0,0.0385,9,0.243,-5.951,0,21,0.0576,124.358,0.748
0.541,0.472,256467,0.386,0,9.89E-05,5,0.192,-13.596,1,30,0.0491,184.853,0.435
0.419,0.622,166293,0.575,0,0,7,0.0659,-14.086,1,34,0.0389,128.51,0.911
0.656,0.496,217280,0.259,0,0.0535,0,0.117,-15.201,1,23,0.0308,122.972,0.0887
0.169,0.499,182627,0.827,0,1.94E-06,2,0.0571,-7.545,1,20,0.0375,175.945,0.669
0.0567,0.685,273027,0.866,0,0.191,9,0.234,-7.192,0,22,0.0307,120.743,0.778
0.466,0.328,92240,0.902,1,0,9,0.904,-11.714,1,29,0.809,72.321,0.254
0.216,0.763,185067,0.655,0,0.000114,3,0.102,-10.424,1,21,0.0348,134.312,0.952
0.25,0.541,445107,0.469,0,0.00292,1,0.468,-9.617,1,28,0.334,96.834,0.878
0.961,0.176,248307,0.201,0,0.00707,4,0.194,-17.344,1,28,0.0423,83.433,0.0446
0.000456,0.517,205200,0.562,0,0.0668,2,0.0871,-13.026,0,28,0.0297,130.753,0.743
0.0213,0.524,213493,0.714,0,0.00507,9,0.338,-11.727,1,20,0.032,107.754,0.658
0.0247,0.659,206267,0.776,0,0.00635,10,0.142,-9.191,1,26,0.0355,140.753,0.915
0.00256,0.526,217173,0.555,0,0.0159,9,0.0933,-11.909,1,19,0.0384,152.09,0.501
0.000827,0.265,183600,0.969,0,5.93E-06,0,0.0734,-5.28,1,25,0.0979,158.711,0.421
0.453,0.608,218427,0.451,0,0,2,0.0981,-10.878,1,28,0.0427,117.998,0.567
0.0501,0.678,184400,0.487,0,8.59E-05,0,0.0754,-13.761,0,20,0.0312,96.056,0.824
0.685,0.316,191373,0.176,0,0.00058,5,0.241,-20.266,0,24,0.0434,67.57,0.426
0.154,0.625,221893,0.551,0,3.27E-06,7,0.408,-9.831,1,28,0.0312,98.769,0.534
0.397,0.471,195733,0.468,0,0,9,0.358,-10.658,1,29,0.0333,160.484,0.416
0.489,0.84,144600,0.888,0,2.59E-06,8,0.0455,-7.818,1,26,0.0458,125.106,0.966
0.981,0.292,418075,0.371,0,0.908,1,0.113,-14.451,0,24,0.0426,169.652,0.14
