id,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,key
0sj3QeaCpacCfxL4c5TQBl,0.995,0.534,0.191,0.03214162,0.0982,0.605,0.28770836,0.805,0.73778091,0.0508,0.63636364
0tOhG2JieOnLL8XSCdoKcE,0.083,0.84,0.724,0.04214187,0,0.59,0.45216359,0.184,0.85362149,0.251,0.09090909
0vhLeFi24U1oYB0odNNVV3,0.000103,0.779,0.724,0.06938921,0.887,0.226,0.52566867,0.123,0.82416412,0.0482,1
0w1niwodVUkILevvugjgNa,1.75E-05,0.49,0.922,0.08434431,0.855,0.264,0.64905321,0.123,0.75231384,0.0771,0.09090909
0xKe1lGyWBuk3lx3JIUUUx,0.147,0.603,0.719,0.04323912,0,0.697,0.37785361,0.111,0.85405998,0.0271,0
11rj3RWlVnnxW0EL7jwN8R,0.367,0.716,0.836,0.04861902,5.81E-06,0.635,0.43524827,0.191,0.84411557,0.0451,0.81818182
12EoJ4NTFAwRDsV0TeiSqD,0.689,0.69,0.324,0.02618441,0,0.265,0.53396412,0.282,0.72432856,0.0726,0.81818182
13Cp2OYw0AXbb39kj4vony,0.983,0.553,0.375,0.03725659,0.223,0.592,0.45220466,0.408,0.79729074,0.0336,0
13GPrQSJCYQ0UubGg9IwZ0,0.964,0.23,0.396,0.04245912,0.0742,0.704,0.28702666,0.274,0.80529324,0.0363,0.45454545
14YYUaft0fQCYn7IqL4FYV,0.365,0.565,0.255,0.02316792,0.000287,0.725,0.38815722,0.321,0.45972907,0.048,0.90909091
16WOPztTggX5a2wdkG4zWL,0.021,0.814,0.705,0.03097932,0.821,0.672,0.44762163,0.209,0.80084567,0.0622,0.72727273
16p8aoTTQ08SkJtx1VATFD,0.963,0.498,0.336,0.03434905,0.143,0.905,0.24452685,0.199,0.75798293,0.04,0.54545455
17hxoQSZt46mkZGHtVt9yV,0.994,0.487,0.298,0.03491904,0,0.738,0.41062064,0.133,0.67119255,0.098,0.54545455
1Bn6okAC9ntFOhKnsJPZkG,0.435,0.68,0.939,0.01570472,0.879,0.924,0.75545262,0.0924,0.85415394,0.0649,0.54545455
1DfwOz5apF0w2d8hccSkhH,0.996,0.575,0.247,0.03229406,0.0684,0.841,0.53716731,0.362,0.73159502,0.04,0.81818182
1GrSchVEDloSplofxpQX6h,0.938,0.368,0.275,0.04226656,0,0.611,0.35555446,0.588,0.66502232,0.052,0.72727273
1Gt8Mf423GHyuXIRHM1ymX,0.73,0.72,0.718,0.03850402,3.11E-06,0.885,0.51335691,0.319,0.82264506,0.0336,0
1HAK7hlSD1szWBiaC7PO7A,0.996,0.679,0.182,0.03192412,0.668,0.754,0.5084166,0.47,0.72443818,0.0693,0.90909091
1IXmlA1rKwIBqsxKE9PO2A,0.989,0.623,0.339,0.03291168,0,0.701,0.49883576,0.155,0.70207501,0.121,0.63636364
1KU6CRh6ctSo1uCupMAnA4,0.336,0.652,0.647,0.03450373,0.321,0.0724,0.46004016,0.094,0.82258241,0.0337,0.45454545
1NLQkLXi6eKvHriBSo1pMv,0.934,0.306,0.498,0.04441399,0.00198,0.795,0.53646096,0.227,0.7778091,0.0367,0.36363636
1QI5WTvnpNV5vJJQU4DPX1,0.996,0.369,0.285,0.03062907,0.938,0.635,0.53205041,0.193,0.68087072,0.0528,0.63636364
1QS0MyTMZPosdthxhALOhT,0.995,0.287,0.621,0.03970908,0.784,0.559,0.31841795,0.151,0.76982225,0.0394,0.27272727
1X21kzrq3Fi1cGNaV8nTXa,0.995,0.716,0.25,0.02966157,0,0.881,0.56838202,0.188,0.73710751,0.0726,0.36363636
1bkvm3Ij45rYHplMYoegjX,0.972,0.632,0.422,0.03866415,0.0109,0.946,0.49651961,0.0494,0.77154491,0.0597,0.18181818
1bzr8IhTopsIKToYnjIyTS,0.219,0.609,0.322,0.04551367,0.848,0.292,0.63260604,0.123,0.74009866,0.0359,0.09090909
1ierpLZZSofFzKqDzh28yj,0.167,0.828,0.467,0.06376143,0.933,0.443,0.52564403,0.0741,0.72163495,0.122,1
1pIFwQpzFwcWtFIZXuu2FX,0.00846,0.831,0.586,0.02807421,0.789,0.328,0.36944318,0.0825,0.83689609,0.12,0.45454545
1spKxUCvNzw1ZmZLPotE1k,0.52,0.707,0.324,0.05139644,0.000558,0.527,0.4268173,0.193,0.78148931,0.0253,0.45454545
1vRn5VowmIoCNOyuy9GIm6,0.0403,0.666,0.914,0.04732022,0.731,0.759,0.52161129,0.0982,0.87531125,0.0305,0.63636364
1xmJl2HjAyebReR7s83yJo,0.0828,0.854,0.555,0.01360117,0.315,0.543,0.33270091,0.0883,0.80692193,0.0747,0.90909091
1z8wyVUlZC7K2RdPRe70BE,0.776,0.792,0.532,0.02331549,0,0.545,0.50266727,0.16,0.69750215,0.328,0.18181818
1zpPyaMsJIqc0umXBfOkH8,0.214,0.89,0.413,0.02116469,0,0.308,0.37980017,0.139,0.78908464,0.226,0.09090909
21V3Z1zsHv6XVLj4t7x9by,0.0786,0.792,0.266,0.04043863,2.45E-06,0.377,0.33260645,0.0916,0.66929763,0.0925,0.72727273
21h1Sraq1TC2AuWgdG5Z5W,0.993,0.257,0.284,0.03345918,0.0518,0.134,0.32082856,0.351,0.79381411,0.0322,0.63636364
